description
同社ＮＴＴ生活環境研究所長
慶應義塾大学大学院政策・メディア研究科特任教授
同　執行役員本店営業部本店長
㈱三井工作所（現㈱三井ハイテック）入社
相模ゴム工業株式会社入社
ソニービジネスソリューション株式会社常勤監査役	ソニー株式会社監査室マネージャー
総務本部長
株式会社　三光マーケティングフーズ社外取締役（現任）
株式会社ソフトクリエイト（現株式会社ソフトクリエイトホールディングス）入社
同社代表取締役社長
