description
ソフトウェア・コンサルタント㈱(現　㈱エスシーシー)へ転籍
ニッセイアセットマネジメント㈱社外監査役(兼任)(現任)
ホウライ株式会社代表取締役社長兼社長執行役員（2019年12月退任）
株式会社フライングガーデン代表取締役会長（現任）
ハッピーPR株式会社設立　代表取締役（現任）
株式会社大戸屋代表取締役社長（現任）
株式会社富士ピー・エス　取締役　専務執行役員土木本部長、海外事業部担当
株式会社東急レクリエーション取締役常務執行役員(現在)
双日株式会社　入社
株式会社シチエ（現株式会社ゲオ）入社
日本エマージェンシーアシスタンス株式会社 営業開発部担当
国際チャート株式会社監査役(現任)
建築本部執務
同社取締役
株式会社アズーム代表取締役副社長就任（現）
株式会社きょくとう入社
同行越谷支社長
中越パルプ工業株式会社取締役常任監査等委員(常勤・現任)
セントラル硝子株式会社執行役員人事部長
株式会社ブロードバンドタワー 取締役 執行役員 DC・クラウド・ストレージ戦略 担当
近藤哲英税理士事務所長(現任)
一般社団法人デジタルメディア協会理事長（現任）
ヤスダＡＭパートナーズ合同会社代表社員就任（現任）
同社専務取締役
グローバル営業担当（現任）
株式会社ラクト・ジャパン入社
ヤンマー株式会社　執行役員
アネスト岩田株式会社入社
三菱商事株式会社主計部
㈱山口銀行取締役
㈱リクルートキャリア転籍
協栄産業株式会社監査役〔常勤〕就任(現在に至る)
アークランドサカモト株式会社代表取締役社長（ＣＯＯ）就任
専務取締役経営戦略室長
トパーズ・キャピタル株式会社 取締役会長(現任)
取締役企画開発技術事業部商品企画本部長(現)
東京上野税務署長
株式会社ベビーカレンダー　取締役医療法人営業部管掌就任（現任）
監査役(現)
株式会社2BC社外取締役（現任）
執行役員経理部長兼経営企画部長
中央日本土地建物グループ株式会社内部監査部顧問
株式会社ミツウロコグループホールディングス取締役
株式会社テクノ・セブン代表取締役社長(現任)
サン電子㈱ 社外取締役(監査等委員) （現任）  （重要な兼職の状況）  ㈱柴田会計 代表取締役社長  北辰税理士法人 代表
マルハニチロ株式会社取締役（現）
川崎汽船株式会社代表取締役、専務執行役員（現職）
株式会社ハイレックスコーポレーション常勤監査役（現任）
株式会社レオクラン監査役（現任）
行政書士登録
株式会社ハンズマン社外監査役(現職)
生産第二部長
株式会社エムビーエスホームメイキャップ事業本部本部長就任
明治大学専門職大学院グローバルビジネス研究科兼任講師（現）
青山監査法人（現　PwCあらた有限責任監査法人）パートナー就任
メディアプレス瀬戸内株式会社代表取締役社長(現任)
ＲＰＡホールディングス株式会社設立、取締役就任（現任）
ワタミ株式会社社外取締役（常勤監査等委員）（現任）
常務理事(現職)
四川富楽徳科技発展有限公司董事長（現任）
監査役
エバラ食品工業株式会社社外取締役 (現)
